sample_index,feature,shap_value,rank
29,count_suspicious,-1.0485529899597168,3
30,count_suspicious,-1.8809335231781006,1
30,READ_CONTACTS,-0.8841028809547424,2
30,SEND_SMS,-0.8083441853523254,3
31,READ_CONTACTS,-1.0948079824447632,1
31,impersonation_score,0.9365166425704956,2
31,SEND_SMS,-0.8174339532852173,3
32,count_suspicious,-1.7251001596450806,1
32,impersonation_score,-1.4280364513397217,2
32,SEND_SMS,-0.5599794983863831,3
33,count_suspicious,-1.7402797937393188,1
33,impersonation_score,0.8468106985092163,2
33,SEND_SMS,-0.7373191714286804,3
34,count_suspicious,3.5903754234313965,1
34,INTERNET,1.1073979139328003,2
34,app_label_len,0.608328104019165,3
35,count_suspicious,-2.6074295043945312,1
35,impersonation_score,-1.1159931421279907,2
35,api_SmsManager,-1.054429054260254,3
36,count_suspicious,3.5425243377685547,1
36,INTERNET,0.910514235496521,2
36,READ_CONTACTS,0.5008817315101624,3
37,SEND_SMS,1.572281837463379,1
37,RECEIVE_SMS,0.8721640110015869,2
37,impersonation_score,0.7854503989219666,3
38,count_suspicious,3.469456434249878,1
38,INTERNET,0.9855973124504089,2
38,app_label_len,-0.5390685796737671,3
39,READ_CONTACTS,0.6928263902664185,1
39,impersonation_score,0.6738415956497192,2
39,SEND_SMS,-0.6433266997337341,3
40,count_suspicious,-3.012261390686035,1
40,api_SmsManager,-1.39253568649292,2
40,SEND_SMS,1.0629100799560547,3
41,count_suspicious,3.095625162124634,1
41,INTERNET,0.7702359557151794,2
41,READ_CONTACTS,0.4799468517303467,3
42,count_suspicious,2.3808014392852783,1
42,SEND_SMS,0.8143602609634399,2
42,impersonation_score,0.5816562175750732,3
43,impersonation_score,-1.7780859470367432,1
43,perm_query_all_packages,-0.6939893960952759,2
43,app_label_len,0.5330859422683716,3
44,count_suspicious,3.220202922821045,1
44,INTERNET,1.0648146867752075,2
44,READ_CONTACTS,0.5241216421127319,3
45,SEND_SMS,1.5448107719421387,1
45,RECEIVE_SMS,1.1183161735534668,2
45,app_label_len,0.6070396304130554,3
46,impersonation_score,-1.8624318838119507,1
46,app_label_len,-0.598474383354187,2
46,package_contains_bank,-0.5904533267021179,3
47,count_suspicious,3.300251007080078,1
47,app_label_len,0.596948504447937,2
47,READ_CONTACTS,0.5087159872055054,3
48,count_suspicious,3.2035393714904785,1
48,INTERNET,0.8636230230331421,2
48,impersonation_score,0.7081424593925476,3
49,SEND_SMS,1.8978958129882812,1
49,impersonation_score,1.2192960977554321,2
49,count_suspicious,-1.1529514789581299,3
50,package_len,1.2265534400939941,1
50,impersonation_score,0.6823251247406006,2
50,READ_CONTACTS,0.6480183005332947,3
51,SEND_SMS,1.573292851448059,1
51,impersonation_score,0.7712671756744385,2
51,READ_CONTACTS,-0.7444024682044983,3
52,count_suspicious,3.1727590560913086,1
52,INTERNET,0.7702359557151794,2
52,package_len,0.5775406360626221,3
53,SEND_SMS,1.5775914192199707,1
53,impersonation_score,1.1256868839263916,2
53,count_suspicious,-1.094939947128296,3
54,count_suspicious,-3.125746250152588,1
54,api_SmsManager,-1.3050763607025146,2
54,SEND_SMS,0.8220922350883484,3
55,count_suspicious,3.549318552017212,1
55,package_len,1.3821929693222046,2
55,INTERNET,0.9506245851516724,3
56,count_suspicious,3.479576826095581,1
56,package_len,-1.1128367185592651,2
56,INTERNET,0.9743718504905701,3
57,count_suspicious,-2.7726023197174072,1
57,api_SmsManager,-1.3991429805755615,2
57,SEND_SMS,1.0722469091415405,3
58,count_suspicious,-2.553002119064331,1
58,impersonation_score,-0.8419734239578247,2
58,READ_CONTACTS,-0.6012858748435974,3
59,count_suspicious,-1.6892553567886353,1
59,impersonation_score,-1.4276862144470215,2
59,READ_CONTACTS,-0.8136132955551147,3
60,count_suspicious,-1.7459512948989868,1
60,impersonation_score,-1.079163670539856,2
60,READ_CONTACTS,-0.8355136513710022,3
61,count_suspicious,3.209925889968872,1
61,package_len,0.9024404287338257,2
61,INTERNET,0.8172358274459839,3
62,impersonation_score,-1.5864505767822266,1
62,READ_CONTACTS,-0.8614976406097412,2
62,SEND_SMS,-0.5937307476997375,3
63,SEND_SMS,1.6243867874145508,1
63,impersonation_score,0.9709731340408325,2
63,RECEIVE_SMS,0.9390196800231934,3
64,count_suspicious,3.1871962547302246,1
64,INTERNET,0.8959255814552307,2
64,impersonation_score,0.6891713738441467,3
65,count_suspicious,-2.7557003498077393,1
65,api_SmsManager,-0.6986423134803772,2
65,READ_CONTACTS,-0.5642438530921936,3
66,count_suspicious,-2.0586788654327393,1
66,READ_CONTACTS,-0.9246540665626526,2
66,SEND_SMS,-0.8943063616752625,3
